Item	GT	o3 mini				Gemini				o3 mini avg	gemini avg	abs(estimated - gt)	
		1st call	2nd call	3rd call	4th call	1st call	2nd call	3rd call	4th call				
501® Original Jeans	33.4	33.4	33.4	33.4	33.4	33	33	33	33	33.4	33	0	0.4
505® Regular Straight	15	33.4	33.4	33.4	33.4	33	33	33	33	33.4	33	18.4	18
514™ Slim Straight	8.6	33.4	33.4	33.4	33.4	33	33	33	33	33.4	33	24.8	24.4
Original Khaki	22.6	30	30	30	25.05	33	33	33	33	28.7625	33	6.1625	10.4
Smash (Category avg)	5.01	14	14	12.8	10.8	17	15	20	13.5	12.9	16.375	7.89	11.365
PopCat (Category avg)	2.01	7	7	12.8	10.8	15	15	20	15	9.4	16.25	7.39	14.24
GT-2000™ 3	10.3	18	18	18	11.5	19	14	16	15	16.375	16	6.075	5.7
GEL-NIMBUS 26	10.8	10.7	10.7	20	10.8	16	22	14	18	13.05	17.5	2.25	6.7
Scania T-shirt (100% Organic)	1.32	9.9	9.9	12	3.5	5	4	4.5	4	8.825	4.375	7.505	3.055
Green Sweatshirt jacket 7248 GSM	8.35	21.2	21.2	25	10.5	20	25	12.5	35	19.475	23.125	11.125	14.775
Trofta High Vis Winter Trouser	15.28	34.8	35.6	42	17.5	35	25	25	30	32.475	28.75	17.195	13.47
Sweatshirt Close the Loop 7850 CLS	2.11	15.4	36.7	22	7	12	8	8	7.5	20.275	8.875	18.165	6.765
Scania Trousers Female (Recyc/Lyocell)	8.01	21.5	34.8	28	9.5	22	28	15	14	23.45	19.75	15.44	11.74
Scania Sweatshirt (100% Organic)	2	22	39.9	21	7	8.5	11	10	8	22.475	9.375	20.475	7.375
Green Quilted Jacket 4101 GRP	5.32	13.7	12.9	38	10	30	33	30	23	18.65	29	13.33	23.68
Jacket Quilted Reversible 4012 TA	8.27	13.7	18.7	45	10	40	45	25	20	21.85	32.5	13.58	24.23
Adizero x Allbirds 2.94	3.34	2.94	2.94	2.94	2.94	12	12.3	13	15	2.94	13.075	0.4	9.735
Men's Tree Runner	4.52	7.1	7.1	7.1	7.1	11	4	10	11	7.1	9	2.58	4.48
Men's Wool Runner	10.36	7.6	7.6	7.6	9.9	11	8	10	9	8.175	9.5	2.185	0.86
The T-Shirt	5.7	6.6	1.9	10.7	2.1	4	7	6	5.2	5.325	5.55	0.375	0.15
The Merino Sweater	15.97	19.8	10.2	19.8	10.2	15	18	18	12	15	15.75	0.97	0.22
The Zip Jacket	15.05	19	12.8	29.8	12.8	25	18	30	17	18.6	22.5	3.55	7.45
The Washed Denim Jacket	12.98	29	19.8	38.6	18.2	35	35	23	19	26.4	28	13.42	15.02
The Long Sleeve T-Shirt	4.51	8	2.4	13.4	2.6	8	6	3.7	6.5	6.6	6.05	2.09	1.54
The Tank Top	3.3	5	1.6	9.2	1.8	5	5	3	3	4.4	4	1.1	0.7
The Linen Shirt	5.59	10	4.2	15.2	4.2	7.5	7.5	5	3.8	8.4	5.95	2.81	0.36
The Braided Elastic Belt	1.88	1	1	3	1.2	1.2	2.1	2	2	1.55	1.825	0.33	0.055
The Boxer Brief	1.64	2	0.6	3	0.8	3.5	2.5	3.5	2.5	1.6	3	0.04	1.36
The Cotton Socks 3-Pack	2.53	2	1	3	1.2	6	3.4	1.2	2.5	1.8	3.275	0.73	0.745
The Ribbed Wool Beanie	4.36	3	1.6	3	2	4.2	18	4	5.2	2.4	7.85	1.96	3.49
Men’s mountain hiking fleece jacket MH100 - Half Zip - Black	8.08	5.5	4	18	5	15	20	30	20	8.125	21.25	0.045	13.17
KIPRUN Run 100 Dry Women's Breathable Long-Sleeved Running T-Shirt - Black	12.15	4.5	2	10	4	4.5	8	4	6	5.125	5.625	7.025	6.525
Men's KIPRUN Run 500 Warm Long-sleeved Zip Running T-Shirt - Blue	14.53	5	2.4	12	5	4.2	5	6	4.3	6.1	4.875	8.43	9.655
Kids' Unisex Hard-Wearing Multisport Shoes Playventure Yard - Black	6.15	6	4	10	4	9	6	4.2	10	6	7.3	0.15	1.15
