Item	GT	o3 mini				Gemini				o3 mini avg	gemini avg	abs(estimated - gt)	
		1st call	2nd call	3rd call	4th call	1st call	2nd call	3rd call	4th call				
ThinkVision T24i-30 / P24i-30 / TIO Flex 24i	668	150	270	150	150	90	98.8	94.5	288	180	142.825	488	525.175
Monitor Dell U2717D	541	250	270	260	150	305	201.3	271.5	179.5	232.5	239.325	308.5	301.675
Monitor HP N246v 23.8-in	460	350	175	250	290	241	161.5	210	113.5	266.25	181.5	193.75	278.5
ASUS TUF Gaming A16 (2024) FA608W(Series: FA608WI, FA608WV, FA608WU, TUF608WI, TUF608WV, TUF608WU, TUF668WI, TUF668WV, TUF668WU)	445	360	250	550	250	849	904	710	633.05	352.5	774.0125	92.5	329.0125
Lenovo IdeaPad S340 15" Touch-Screen AMD Ryzen 7 12GB RAM 512GB SSD - Abyss Blue	390	200	265	250	250	194	431.2	250	305	241.25	295.05	148.75	94.95
ASUS FA617NS	362	300	350	260	450	585	764	680	780	340	702.25	22	340.25
Apple Vision Pro	335	110	85	100	100	75	150	150	66	98.75	110.25	236.25	224.75
ThinkPad P1 Gen 5	312	260	350	530	250	685	600	742	530	347.5	639.25	35.5	327.25
Mac Studio (M4 Max, 512GB SSD)	276	500	330	350	900	268	268	279.84	275.1	520	272.735	244	3.265
ThinkPad P15v Gen 3 Intel / ThinkPad T15p Gen 3 Intel	272	800	250	320	300	770	402	517	530	417.5	554.75	145.5	282.75
Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White	263	160	175	240	240	226.6	150	166	173	203.75	178.9	59.25	84.1
ASUS Zenbook S16 UX5606S (Series: BX5606S, RX5606S)	250	250	200	250	230	270	300	485	511.65	232.5	391.6625	17.5	141.6625
MacBook Pro 14-inch with M4 Max - 1TB	248	300	320	250	300	72	321	462	365	292.5	305	44.5	57
ASUS Vivobook S 14 S5406S (Series: K5406S, V5406S, Q423S, P5406CS)	240	250	250	200	250	301.68	381	244	313	237.5	309.92	2.5	69.92
ThinkPad T16 Gen 1 AMD	233	250	230	210	250	418.44	550	450	535	235	488.36	2	255.36
Monitor Dell E1912H	233	150	120	140	170	108.3	208	106.5	93.1	145	128.975	88	104.025
ASUS ExpertBook BM1 BM1403CDA (Series:PM1403CDA)	224	220	220	250	250	330	290	271	375	235	316.5	11	92.5
ThinkPad L13 Gen 3 AMD	201	250	225	250	180	280	360	300	268	226.25	302	25.25	101
MacBook Pro 14-inch with M4 (512GB)	198	250	230	250	255	66	272	361	508	246.25	301.75	48.25	103.75
Apple iPad Air 2 Wi-Fi, 9.7\" Tablet, 64 GB, Space Gray (MGKL2CL/A)	190	70	70	90	70	100	110	120	57	75	96.75	115	93.25
Apple iPad Air 2 Wi-Fi, 9.7\" Tablet, 16 GB, GOLD (MH0W2LL/A)	190	70	60	40	60	120	120	130	130	57.5	125	132.5	65
ASUS ExpertBook B1 B1403CTA (Series: P1403CTA)	156	230	170	200	200	260	260	216	307.8	200	260.95	44	104.95
MacBook Air 15-inch with M4 (512GB SSD)	147	250	230	230	200	243	223	255	246	227.5	241.75	80.5	94.75
