Item	GT	o3 mini				Gemini				o3 mini avg	gemini avg	abs(estimated - gt)	
		1st call	2nd call	3rd call	4th call	1st call	2nd call	3rd call	4th call				
KI UniteSE Workstation	552	335	570	380	400	302.02	336.00	343.30	345.03	421.25	331.59	130.75	220.41
KI EC4 Workstation	507	182	530	875	600	240.60	260.00	208.75	262.59	546.75	242.99	39.75	264.02
Arper Aava 02 Metal	18.1	25	16.4	16	15	12.09	19.40	21.06	15.31	18.10	16.97	0.00	1.14
Arper Aava 02 Wood	12.5	10.4	12	50	12	19.40	19.40	10.96	10.01	21.10	14.94	8.60	2.44
Nardi Trill Armchair	17.6	20	18	18	18	17.60	17.60	19.48	12.22	18.50	16.73	0.90	0.88
Orlandi Floor Cloth	3.34	0.4	0.01	0.03	0.01	0.14	0.14	0.06	0.45	0.11	0.20	3.23	3.14
Orlandi Microfibre Cloths	3.01	0.67	0.002	0.006	0.024	0.23	0.23	0.10	0.18	0.18	0.18	2.83	2.83
Futura Line Napkins	2170	1200	1150	1200	1200	1,650.00	1,500.00	10,670.00	1,625.00	1,187.50	3,861.25	982.50	1,691.25
Futura Line Toilet Paper	2040	1000	1500	1300	500	1,650.00	1,500.00	10,670.00	1,625.00	1,075.00	3,861.25	965.00	1,821.25
Futura Line Kitchen Towel	2040	1000	1200	1700	1500	1,650.00	1,500.00	10,670.00	1,625.00	1,350.00	3,861.25	690.00	1,821.25
Medac 16BFB Cup	2.26	0.008	0.01	0.0125	0.0082	0.01	0.01	0.04	0.01	0.01	0.02	2.25	2.24
Medac 10MGFB Cup	2.24	0.04	0.04	0.02	0.014	0.01	0.01	0.06	0.01	0.03	0.02	2.21	2.22
Medac 108CFB Cup	2.39	0.015	0.012	0.01	0.035	0.01	0.01	0.05	0.01	0.02	0.02	2.37	2.37
Medac M2FB Cup	4.03	0.03	0.015	0.03	0.03	0.01	0.01	0.08	0.01	0.03	0.03	4.00	4.00
Medac M3FB Cup	4.17	0.022	0.023	0.02	0.02	0.02	0.01	0.09	0.01	0.02	0.03	4.15	4.14
Medac 42C Cup	4.08	0.025	0.02	0.03	0.05	0.02	0.01	0.09	0.01	0.03	0.03	4.05	4.05
Medac VCFB Cup	2.48	0.02	0.02	0.015	0.045	0.01	0.01	0.06	0.01	0.03	0.02	2.46	2.46
Medac 16B Cup	2.24	0.01	0.03	0.013	0.06	0.01	0.01	0.04	0.01	0.03	0.02	2.21	2.22
Medac 108C Cup	2.38	0.02	0.016	0.03	0.013	0.01	0.01	0.05	0.01	0.02	0.02	2.36	2.36
Medac 8B Cup	2.29	0.008	0.01	0.015	0.03	0.01	0.01	0.04	0.01	0.02	0.02	2.27	2.27
Medac 10MG Cup	2.56	0.021	0.03	0.04	0.05	0.01	0.01	0.06	0.01	0.04	0.02	2.52	2.54
Medac 125C Cup	2.44	0.05	0.033	0.02	0.06	0.01	0.01	0.05	0.01	0.04	0.02	2.40	2.42
Medac M2 Cup	4.05	0.04	0.045	0.042	0.05	0.01	0.01	0.08	0.01	0.04	0.03	4.01	4.02
Medac M3 Cup	4.28	0.035	0.025	0.05	0.02	0.02	0.01	0.09	0.01	0.03	0.03	4.25	4.25
Medac W550 Cup	4.5	0.05	0.05	0.03	0.023	0.02	0.02	0.12	0.02	0.04	0.04	4.46	4.46
Medac MD4 Cup	4.56	0.024	0.05	0.05	0.04	0.02	0.02	0.10	0.02	0.04	0.04	4.52	4.52
Medac VKFB Cup	2.24	0.07	0.033	0.015	0.02	0.01	0.01	0.05	0.01	0.03	0.02	2.21	2.22
Medac 237CKFB Cup	3.51	0.07	0.02	0.025	0.033	0.01	0.01	0.08	0.01	0.04	0.03	3.47	3.48
CMPC Uncoated Cup Stock	1480	350	300	450	300	700.00	1,000.00	651.50	300.00	350.00	662.88	1,130.00	817.13
AJ QBUS Standing Desk	86.9	315	340	235	350	150.00	157.00	96.69	113.04	310.00	129.18	223.10	42.28
Steelcase Ottima Table	171	70	80	70	70	67.69	90.00	50.00	75.50	72.50	70.80	98.50	100.20
Steelcase DO Chair	82.2	130	170	110	131	85.00	65.30	70.00	93.26	135.25	78.39	53.05	3.81
MillerKnoll Verus Chair	98.7	63	50	60	65	75.00	65.00	75.00	101.84	59.50	79.21	39.20	19.49
Almachair Monaco	160.6	130	200	150	95	116.96	98.70	130.00	113.89	143.75	114.89	16.85	45.71
Benchmark OVO Lounge	28	75	55	86	70	14.60	8.60	15.00	23.24	71.50	15.36	43.50	12.64
Benchmark OVO Table	66.9	120	220	180	210	100.81	100.80	45.00	65.65	182.50	78.07	115.60	11.17
Benchmark Coffee Table	17.1	74	60	25	120	40.20	29.50	13.00	19.20	69.75	25.48	52.65	8.38
