LLM	MODEL	ALPHA	K	PCF	RECALL	NDCG	GINIINDEX	AVERAGEPOPULARITY	TAILPERCENTAGE	ITEMCOVERAGE	PRECISION	MRR	HIT
o3 mini	BPR	1.0	5	7.4581	0.0098	0.0092	0.9922	17.6314	0.0008	0.0292	0.0031	0.0093	0.0106
o3 mini	BPR	1.15	5	5.9098	0.0098	0.0090	0.9927	18.0067	0.0007	0.0281	0.0030	0.0091	0.0105
o3 mini	BPR	0.5	5	4.4233	0.0093	0.0084	0.9934	18.3066	0.0008	0.0264	0.0029	0.0086	0.0102
o3 mini	BPR	0.25	5	2.7292	0.0069	0.0060	0.9949	18.2156	0.0011	0.0224	0.0021	0.0064	0.0083
o3 mini	BPR	1.0	10	7.7582	0.0103	0.0093	0.9878	14.1468	0.0014	0.0491	0.0016	0.0094	0.0112
o3 mini	BPR	1.15	10	6.0798	0.0105	0.0093	0.9885	14.4645	0.0015	0.0474	0.0017	0.0092	0.0114
o3 mini	BPR	0.5	10	4.5260	0.0103	0.0087	0.9896	14.6558	0.0018	0.0443	0.0016	0.0087	0.0113
o3 mini	BPR	0.25	10	2.7917	0.0079	0.0063	0.9919	14.4695	0.0026	0.0377	0.0012	0.0065	0.0094
o3 mini	BPR	1.0	20	8.0261	0.0110	0.0095	0.9802	11.3848	0.0034	0.0854	0.0009	0.0094	0.0120
o3 mini	BPR	1.15	20	6.2436	0.0109	0.0093	0.9813	11.6271	0.0033	0.0822	0.0009	0.0093	0.0120
o3 mini	BPR	0.5	20	4.6351	0.0107	0.0088	0.9831	11.7594	0.0037	0.0775	0.0008	0.0088	0.0119
o3 mini	BPR	0.25	20	2.9415	0.0087	0.0066	0.9867	11.6051	0.0050	0.0658	0.0007	0.0066	0.0104
o3 mini	BPR	1.0	50	8.3649	0.0115	0.0096	0.9612	8.5789	0.0087	0.1800	0.0004	0.0095	0.0130
o3 mini	BPR	1.15	50	6.4462	0.0115	0.0095	0.9633	8.7418	0.0086	0.1735	0.0004	0.0093	0.0130
o3 mini	BPR	0.5	50	4.8793	0.0114	0.0090	0.9664	8.7953	0.0093	0.1623	0.0004	0.0088	0.0130
o3 mini	BPR	0.25	50	3.8682	0.0102	0.0069	0.9692	8.5503	0.0112	0.1505	0.0003	0.0066	0.0121
o3 mini	LightGCN	1.0	5	7.6935	0.0105	0.0105	0.9854	16.0845	0.0065	0.0489	0.0033	0.0109	0.0113
o3 mini	LightGCN	1.15	5	6.0281	0.0105	0.0104	0.9861	16.4154	0.0065	0.0476	0.0033	0.0108	0.0113
o3 mini	LightGCN	0.5	5	4.4922	0.0102	0.0099	0.9875	16.6992	0.0068	0.0449	0.0031	0.0102	0.0110
o3 mini	LightGCN	0.25	5	2.7599	0.0078	0.0073	0.9904	16.6338	0.0069	0.0383	0.0024	0.0078	0.0091
o3 mini	LightGCN	1.0	10	7.9148	0.0109	0.0106	0.9762	13.4585	0.0093	0.0864	0.0017	0.0110	0.0118
o3 mini	LightGCN	1.15	10	6.1971	0.0109	0.0106	0.9776	13.7526	0.0091	0.0835	0.0017	0.0108	0.0118
o3 mini	LightGCN	0.5	10	4.6154	0.0108	0.0101	0.9800	13.9565	0.0090	0.0782	0.0017	0.0103	0.0117
o3 mini	LightGCN	0.25	10	2.8560	0.0085	0.0075	0.9850	13.8579	0.0091	0.0650	0.0013	0.0079	0.0098
o3 mini	LightGCN	1.0	20	8.1159	0.0115	0.0108	0.9626	11.2526	0.0124	0.1467	0.0009	0.0110	0.0126
o3 mini	LightGCN	1.15	20	6.3705	0.0114	0.0107	0.9648	11.4862	0.0120	0.1419	0.0009	0.0109	0.0125
o3 mini	LightGCN	0.5	20	4.7477	0.0113	0.0102	0.9687	11.6300	0.0118	0.1317	0.0009	0.0104	0.0124
