LLM	MODEL	ALPHA	K	PCF	RECALL	NDCG	GINIINDEX	AVERAGEPOPULARITY	TAILPERCENTAGE	ITEMCOVERAGE	PRECISION	MRR	HIT	F1
o3 mini	BPR	1.00	5	19.0192	0.0191	0.0159	0.9931	708.0208	0.0011	0.1212	0.0094	0.0242	0.0459	0.0126
o3 mini	BPR	1.00	10	19.8906	0.0301	0.0202	0.9892	608.3597	0.0011	0.1975	0.0074	0.0274	0.0706	0.0119
o3 mini	BPR	1.00	20	20.5394	0.0476	0.0257	0.9829	519.7300	0.0012	0.3148	0.0057	0.0299	0.1079	0.0102
o3 mini	BPR	1.00	50	22.1554	0.0846	0.0350	0.9688	408.0567	0.0013	0.5337	0.0041	0.0323	0.1837	0.0078
o3 mini	BPR	0.75	5	14.6415	0.0187	0.0158	0.9932	705.9571	0.0012	0.1198	0.0093	0.0242	0.0451	0.0124
o3 mini	BPR	0.75	10	13.6494	0.0294	0.0199	0.9892	609.2071	0.0011	0.1978	0.0072	0.0273	0.0689	0.0116
o3 mini	BPR	0.75	20	13.7479	0.0472	0.0256	0.9830	520.9831	0.0012	0.3124	0.0057	0.0299	0.1073	0.0102
o3 mini	BPR	0.75	50	14.7813	0.0841	0.0348	0.9688	407.5687	0.0013	0.5328	0.0041	0.0322	0.1829	0.0078
o3 mini	BPR	0.50	5	12.1657	0.0185	0.0156	0.9932	695.0817	0.0012	0.1212	0.0091	0.0239	0.0445	0.0122
o3 mini	BPR	0.50	10	10.5864	0.0289	0.0196	0.9894	604.8729	0.0012	0.1968	0.0071	0.0270	0.0677	0.0114
o3 mini	BPR	0.50	20	9.7830	0.0460	0.0251	0.9833	518.7660	0.0012	0.3111	0.0056	0.0295	0.1052	0.0100
o3 mini	BPR	0.50	50	9.8366	0.0817	0.0340	0.9690	404.0307	0.0014	0.5283	0.0040	0.0318	0.1777	0.0076
o3 mini	BPR	0.25	5	7.6632	0.0171	0.0146	0.9929	639.3974	0.0012	0.1222	0.0085	0.0227	0.0413	0.0114
o3 mini	BPR	0.25	10	6.8546	0.0268	0.0184	0.9893	572.4623	0.0012	0.1985	0.0066	0.0256	0.0634	0.0106
o3 mini	BPR	0.25	20	6.3129	0.0436	0.0237	0.9835	500.1186	0.0013	0.3049	0.0054	0.0282	0.1014	0.0096
o3 mini	BPR	0.25	50	6.0407	0.0766	0.0320	0.9695	391.3185	0.0014	0.5157	0.0037	0.0303	0.1691	0.0071
o3 mini	LightGCN	1.00	5	24.0249	0.0239	0.0194	0.9852	616.4853	0.0011	0.1930	0.0112	0.0292	0.0547	0.0153
o3 mini	LightGCN	1.00	10	23.9728	0.0364	0.0244	0.9741	512.2859	0.0016	0.3292	0.0087	0.0331	0.0840	0.0140
o3 mini	LightGCN	1.00	20	23.3876	0.0580	0.0313	0.9566	423.9442	0.0020	0.5192	0.0070	0.0362	0.1292	0.0125
o3 mini	LightGCN	1.00	50	23.5307	0.1010	0.0421	0.9191	323.1615	0.0029	0.7804	0.0049	0.0388	0.2140	0.0093
o3 mini	LightGCN	0.75	5	16.6244	0.0237	0.0192	0.9851	612.7825	0.0012	0.1923	0.0112	0.0290	0.0548	0.0152
o3 mini	LightGCN	0.75	10	15.9221	0.0364	0.0243	0.9741	510.8531	0.0017	0.3281	0.0087	0.0329	0.0841	0.0140
o3 mini	LightGCN	0.75	20	15.5556	0.0569	0.0309	0.9569	423.9281	0.0021	0.5140	0.0069	0.0359	0.1280	0.0123
o3 mini	LightGCN	0.75	50	15.5537	0.0998	0.0416	0.9195	322.7373	0.0030	0.7735	0.0048	0.0386	0.2125	0.0092
o3 mini	LightGCN	0.50	5	12.6214	0.0231	0.0190	0.9850	598.6825	0.0014	0.1924	0.0109	0.0288	0.0535	0.0148
o3 mini	LightGCN	0.50	10	11.2308	0.0363	0.0242	0.9740	502.6031	0.0019	0.3292	0.0087	0.0327	0.0838	0.0140
o3 mini	LightGCN	0.50	20	10.4105	0.0554	0.0304	0.9570	418.8439	0.0022	0.5077	0.0067	0.0356	0.1258	0.0120
o3 mini	LightGCN	0.50	50	10.0620	0.0962	0.0407	0.9199	318.6938	0.0032	0.7610	0.0047	0.0382	0.2070	0.0090
o3 mini	LightGCN	0.25	5	8.0086	0.0214	0.0180	0.9840	549.0353	0.0016	0.1967	0.0102	0.0274	0.0501	0.0138
o3 mini	LightGCN	0.25	10	6.9717	0.0339	0.0230	0.9735	472.3166	0.0022	0.3287	0.0082	0.0312	0.0791	0.0132
o3 mini	LightGCN	0.25	20	6.2816	0.0535	0.0292	0.9570	399.2529	0.0026	0.4966	0.0065	0.0341	0.1217	0.0116
o3 mini	LightGCN	0.25	50	5.9262	0.0920	0.0389	0.9210	305.6633	0.0036	0.7283	0.0045	0.0365	0.1994	0.0086
gemini	BPR	1.00	5	27.0259	0.0191	0.0159	0.9931	708.0208	0.0011	0.1212	0.0094	0.0242	0.0459	0.0126
gemini	BPR	1.00	10	30.0402	0.0301	0.0202	0.9892	608.3597	0.0011	0.1975	0.0074	0.0274	0.0706	0.0119
gemini	BPR	1.00	20	31.8634	0.0476	0.0257	0.9829	519.7300	0.0012	0.3148	0.0057	0.0299	0.1079	0.0102
gemini	BPR	1.00	50	34.5562	0.0846	0.0350	0.9688	408.0567	0.0013	0.5337	0.0041	0.0323	0.1837	0.0078
gemini	BPR	0.75	5	19.9171	0.0187	0.0158	0.9932	709.1206	0.0012	0.1204	0.0093	0.0241	0.0453	0.0124
gemini	BPR	0.75	10	20.7044	0.0298	0.0201	0.9893	609.8430	0.0011	0.1970	0.0073	0.0273	0.0700	0.0117
gemini	BPR	0.75	20	21.2813	0.0468	0.0254	0.9830	520.7954	0.0012	0.3151	0.0057	0.0298	0.1067	0.0102
gemini	BPR	0.75	50	22.7022	0.0843	0.0349	0.9688	407.5232	0.0014	0.5355	0.0041	0.0322	0.1829	0.0078
gemini	BPR	0.50	5	15.2765	0.0189	0.0158	0.9933	707.2122	0.0012	0.1213	0.0094	0.0242	0.0456	0.0126
gemini	BPR	0.50	10	14.9882	0.0289	0.0197	0.9894	607.6844	0.0012	0.1957	0.0071	0.0271	0.0678	0.0114
gemini	BPR	0.50	20	14.8116	0.0462	0.0252	0.9832	518.9185	0.0012	0.3126	0.0056	0.0297	0.1058	0.0100
gemini	BPR	0.50	50	15.0595	0.0827	0.0344	0.9689	404.0945	0.0014	0.5332	0.0040	0.0320	0.1801	0.0076
gemini	BPR	0.25	5	10.2051	0.0183	0.0154	0.9933	693.9818	0.0012	0.1203	0.0091	0.0238	0.0443	0.0122
gemini	BPR	0.25	10	9.3796	0.0284	0.0193	0.9895	598.6706	0.0013	0.1941	0.0070	0.0267	0.0668	0.0112
gemini	BPR	0.25	20	8.8242	0.0455	0.0247	0.9834	510.5653	0.0013	0.3084	0.0055	0.0292	0.1042	0.0098
gemini	BPR	0.25	50	8.6339	0.0792	0.0332	0.9692	393.8045	0.0014	0.5224	0.0039	0.0314	0.1740	0.0074
gemini	LightGCN	1.00	5	37.0700	0.0239	0.0194	0.9852	616.4853	0.0011	0.1930	0.0112	0.0292	0.0547	0.0153
gemini	LightGCN	1.00	10	38.4670	0.0364	0.0244	0.9741	512.2859	0.0016	0.3292	0.0087	0.0331	0.0840	0.0140
gemini	LightGCN	1.00	20	38.0351	0.0580	0.0313	0.9566	423.9442	0.0020	0.5192	0.0070	0.0362	0.1292	0.0125
gemini	LightGCN	1.00	50	39.0412	0.1010	0.0421	0.9191	323.1615	0.0029	0.7804	0.0049	0.0388	0.2140	0.0093
gemini	LightGCN	0.75	5	23.8725	0.0236	0.0192	0.9853	618.2217	0.0011	0.1927	0.0111	0.0290	0.0545	0.0151
gemini	LightGCN	0.75	10	24.9592	0.0368	0.0244	0.9741	513.0177	0.0017	0.3292	0.0088	0.0329	0.0847	0.0142
gemini	LightGCN	0.75	20	25.1186	0.0576	0.0311	0.9568	424.5539	0.0021	0.5139	0.0070	0.0360	0.1293	0.0125
gemini	LightGCN	0.75	50	25.2390	0.1006	0.0419	0.9194	323.1170	0.0030	0.7767	0.0048	0.0387	0.2136	0.0092
gemini	LightGCN	0.50	5	16.4074	0.0229	0.0189	0.9852	614.4322	0.0012	0.1928	0.0108	0.0287	0.0531	0.0147
gemini	LightGCN	0.50	10	16.2199	0.0367	0.0243	0.9741	509.7243	0.0018	0.3290	0.0088	0.0328	0.0849	0.0142
gemini	LightGCN	0.50	20	16.0935	0.0571	0.0309	0.9569	421.6829	0.0021	0.5106	0.0069	0.0358	0.1288	0.0123
gemini	LightGCN	0.50	50	15.9502	0.0985	0.0413	0.9195	319.8159	0.0031	0.7657	0.0048	0.0384	0.2105	0.0092
gemini	LightGCN	0.25	5	10.4266	0.0222	0.0186	0.9851	597.6815	0.0013	0.1927	0.0106	0.0285	0.0522	0.0143
gemini	LightGCN	0.25	10	9.4346	0.0344	0.0234	0.9741	498.0534	0.0019	0.3294	0.0083	0.0321	0.0801	0.0134
gemini	LightGCN	0.25	20	8.8648	0.0550	0.0300	0.9572	412.1816	0.0023	0.5017	0.0067	0.0352	0.1247	0.0119
gemini	LightGCN	0.25	50	8.6165	0.0944	0.0399	0.9201	310.3277	0.0034	0.7434	0.0046	0.0376	0.2035	0.0088
