LLM	MODEL	ALPHA	K	PCF	RECALL	NDCG	GINIINDEX	AVERAGEPOPULARITY	TAILPERCENTAGE	ITEMCOVERAGE	PRECISION	MRR	HIT
o3 mini	BPR	1.0	5	43.2638	0.0136	0.0113	0.0638	331.3802	0.0007	0.1569	0.0042	0.0121	0.0181
o3 mini	BPR	0.75	5	27.6377	0.0136	0.0113	0.0638	331.1801	0.0007	0.1574	0.0042	0.0121	0.0181
o3 mini	BPR	0.5	5	19.8025	0.0135	0.0112	0.0639	328.2073	0.0006	0.1567	0.0041	0.012	0.018
o3 mini	BPR	0.25	5	13.1975	0.0132	0.0108	0.0642	319.511	0.0006	0.1551	0.004	0.0117	0.0177
o3 mini	BPR	1.0	10	44.8017	0.0183	0.013	0.0573	287.4817	0.0007	0.2203	0.0029	0.013	0.0249
o3 mini	BPR	0.75	10	27.2148	0.0185	0.013	0.0573	287.3799	0.0007	0.2206	0.0029	0.0131	0.0251
o3 mini	BPR	0.5	10	19.1485	0.0181	0.0128	0.0574	284.9661	0.0007	0.2203	0.0029	0.0129	0.0247
o3 mini	BPR	0.25	10	12.593	0.0177	0.0124	0.0578	277.7175	0.0006	0.217	0.0028	0.0125	0.0242
o3 mini	BPR	1.0	20	46.0106	0.0264	0.0152	0.0269	245.7325	0.0007	0.2998	0.0021	0.0138	0.0366
o3 mini	BPR	0.75	20	27.1008	0.0264	0.0153	0.0271	245.7249	0.0007	0.3005	0.0021	0.0138	0.0366
o3 mini	BPR	0.5	20	18.5348	0.0263	0.0151	0.0269	243.8245	0.0007	0.2989	0.0021	0.0137	0.0365
o3 mini	BPR	0.25	20	12.1226	0.0259	0.0147	0.0264	238.0074	0.0007	0.2944	0.0021	0.0133	0.0361
o3 mini	BPR	1.0	50	47.5136	0.0425	0.0188	0.0052	195.9213	0.0008	0.4301	0.0014	0.0145	0.0605
o3 mini	BPR	0.75	50	27.1423	0.0425	0.0189	0.0051	195.6859	0.0008	0.4304	0.0014	0.0146	0.0605
o3 mini	BPR	0.5	50	17.9848	0.0418	0.0186	0.0054	194.1346	0.0008	0.4288	0.0014	0.0144	0.0597
o3 mini	BPR	0.25	50	11.6096	0.0409	0.0181	0.0062	189.7556	0.0008	0.422	0.0013	0.014	0.0589
o3 mini	LightGCN	1.0	5	43.55	0.0192	0.0167	0.0401	242.009	0.0026	0.239	0.0059	0.0179	0.0246
o3 mini	LightGCN	0.75	5	26.4175	0.0192	0.0166	0.04	241.5731	0.0025	0.2387	0.0059	0.0178	0.0247
o3 mini	LightGCN	0.5	5	18.0605	0.0189	0.0163	0.0401	239.0528	0.0024	0.2377	0.0058	0.0176	0.0244
o3 mini	LightGCN	0.25	5	11.5303	0.0185	0.0159	0.0409	231.2401	0.0022	0.2334	0.0057	0.0172	0.0241
o3 mini	LightGCN	1.0	10	43.8536	0.0247	0.0186	0.0281	208.4736	0.0025	0.3255	0.0039	0.0189	0.0324
o3 mini	LightGCN	0.75	10	26.2165	0.0247	0.0185	0.0278	208.1775	0.0024	0.3256	0.0039	0.0188	0.0323
o3 mini	LightGCN	0.5	10	17.512	0.0244	0.0182	0.0282	206.245	0.0024	0.3234	0.0038	0.0186	0.032
o3 mini	LightGCN	0.25	10	11.1868	0.0236	0.0177	0.0292	199.9828	0.0023	0.3167	0.0037	0.0182	0.0313
o3 mini	LightGCN	1.0	20	44.0911	0.0319	0.0207	0.0139	176.9685	0.0024	0.4227	0.0026	0.0196	0.0429
o3 mini	LightGCN	0.75	20	25.9474	0.0317	0.0206	0.0138	176.6272	0.0024	0.4225	0.0025	0.0195	0.0426
o3 mini	LightGCN	0.5	20	17.1209	0.0313	0.0203	0.0143	174.9123	0.0024	0.4189	0.0025	0.0193	0.0423
o3 mini	LightGCN	0.25	20	10.902	0.0302	0.0196	0.0157	170.2472	0.0023	0.4098	0.0024	0.0189	0.0412
o3 mini	LightGCN	1.0	50	43.9248	0.0454	0.0238	0.0082	140.2013	0.0025	0.5637	0.0015	0.0202	0.0635
o3 mini	LightGCN	0.75	50	26.0439	0.0456	0.0237	0.0084	139.7603	0.0025	0.5633	0.0015	0.0201	0.0636
o3 mini	LightGCN	0.5	50	16.7634	0.0451	0.0234	0.0078	138.3358	0.0025	0.5592	0.0015	0.0199	0.0633
o3 mini	LightGCN	0.25	50	10.5845	0.0443	0.0228	0.0057	134.8805	0.0024	0.5464	0.0015	0.0195	0.0625
gemini	BPR	1.0	5	44,2998	0,0136	0,0113	0,0638	331,3802	0,0007	0,1569	0,0042	0,0121	0,0181
gemini	BPR	0.75	5	29,4604	0,0136	0,0112	0,0639	329,6636	0,0006	0,157	0,0042	0,0121	0,018
gemini	BPR	0.5	5	19,7599	0,0135	0,011	0,064	323,0949	0,0006	0,156	0,0042	0,0118	0,0181
gemini	BPR	0.25	5	11,0655	0,0127	0,0104	0,0643	305,9512	0,0007	0,1538	0,0039	0,0112	0,0172
gemini	BPR	1.0	10	44,2442	0,0183	0,013	0,0573	287,4817	0,0007	0,2203	0,0029	0,013	0,0249
gemini	BPR	0.75	10	28,6853	0,0185	0,013	0,0574	286,0415	0,0006	0,2201	0,0029	0,013	0,0251
gemini	BPR	0.5	10	18,9377	0,0179	0,0126	0,0575	280,78	0,0006	0,2189	0,0028	0,0126	0,0244
